id,name,address,phone,specialty,license,pdf_path
102,Dr. Hazel Cox,"3797 Maple Blvd, NY",(540) 446-7912,Endocrinology,NY-B36354,none
103,Dr. Lucas Young,"8218 Cedar Ave, NC",(223) 485-3977,Cardiology,NC-N51896,none
104,Dr. Charlotte Rogers,"8378 Maple Blvd, OH",(356) 744-3510,Pediatrics,OH-N40238,none
105,Dr. John King,"4984 Main St, NY",(774) 825-4327,Endocrinology,NY-C29393,none
106,Dr. Logan Howard,"4293 Maple Blvd, NC",(712) 518-9703,Endocrinology,NC-D85462,none
107,Dr. Grace Lopez,"8445 Main St, PA",(307) 387-3740,Neurology,PA-B55123,none
108,Dr. Sophia Bell,"2479 Maple Blvd, CA",(803) 724-5964,Endocrinology,CA-N61688,none
109,Dr. Samuel Wilson,"1260 Maple Blvd, OH",(442) 967-7468,Radiology,OH-A84196,none
110,Dr. James Young,"8714 Elm St, CA",(337) 714-3893,Pediatrics,CA-D98425,none
111,Dr. James Robinson,"1989 Cedar Ave, PA",(251) 394-6692,Gastroenterology,PA-A10890,none
112,Dr. Elijah Baker,"3720 Maple Blvd, PA",(469) 909-1816,Neurology,PA-D10927,none
113,Dr. Liam Reed,"7135 Cedar Ave, OH",(498) 303-5253,Radiology,OH-C14655,inputs/sample_pdfs/doc_113.pdf
114,Dr. Jack Parker,"1199 Oak Drive, PA",(243) 956-8661,Orthopedics,PA-C50434,none
115,Dr. James Bell,"7625 Main St, PA",(466) 320-6896,Dermatology,PA-A92550,none
116,Dr. Stella Torres,"4270 Main St, NC",(523) 413-5974,Orthopedics,NC-C89800,none
117,Dr. Levi Thompson,"4649 Oak Drive, IL",(874) 677-4662,Dermatology,IL-N60698,none
118,Dr. Stella Richardson,"8560 Oak Drive, TX",(968) 386-2684,Endocrinology,TX-N26822,none
119,Dr. Jack Rivera,"2750 Maple Blvd, TX",(747) 288-9576,Pediatrics,TX-B58120,none
120,Dr. Aiden Reed,"3266 Main St, IL",(852) 582-4186,Gastroenterology,IL-B44653,none
121,Dr. Aiden Evans,"1403 Main St, PA",(514) 414-4387,Cardiology,PA-B96605,none
122,Dr. Michael Morgan,"7021 Oak Drive, PA",(909) 238-3927,Oncology,PA-B86264,none
123,Dr. Ethan Evans,"3142 Cedar Ave, NC",(329) 687-6714,Radiology,NC-A80626,none
124,Dr. Hazel Gray,"4479 Cedar Ave, OH",(675) 858-7009,Gastroenterology,OH-C38375,none
125,Dr. Samuel Lewis,"3601 Cedar Ave, MI",(961) 908-4200,Pediatrics,MI-N91882,none
126,Dr. Aubrey Morris,"423 Oak Drive, GA",(304) 405-2082,Radiology,GA-A42713,none
127,Dr. Amelia Rogers,"2435 Oak Drive, IL",(747) 807-5203,Orthopedics,IL-N63498,none
128,Dr. Logan Parker,"642 Elm St, NY",(346) 455-5821,Psychiatry,NY-C38522,inputs/sample_pdfs/doc_128.pdf
129,Dr. Amelia Howard,"4280 Maple Blvd, IL",(887) 382-4564,Orthopedics,IL-A56742,none
130,Dr. Chloe Clark,"4397 Elm St, NY",(218) 884-6878,Radiology,NY-D85618,none
131,Dr. Natalie Scott,"3206 Pine St, OH",(483) 833-5843,Gastroenterology,OH-D20745,none
132,Dr. Victoria Parker,"930 Pine St, PA",(327) 724-6511,Orthopedics,PA-A48596,none
133,Dr. Charlotte Johnson,"2844 Maple Blvd, NY",(779) 238-2127,Psychiatry,NY-D64485,none
134,Dr. Natalie Carter,"9502 Oak Drive, OH",(559) 759-8224,Oncology,OH-C39489,none
135,Dr. Owen Gray,"8676 Oak Drive, IL",(952) 918-6982,Orthopedics,IL-N94689,none
136,Dr. John Martinez,"7215 Pine St, IL",(335) 262-5761,Endocrinology,IL-B91357,none
137,Dr. Emma Richardson,"7463 Maple Blvd, GA",(311) 742-4891,Oncology,GA-B37702,none
138,Dr. Zoe Cooper,"764 Maple Blvd, MI",(443) 692-8202,Dermatology,MI-A70350,none
139,Dr. Hazel Johnson,"5540 Oak Drive, GA",(708) 489-6199,Oncology,GA-C51874,none
140,Dr. Addison Howard,"6086 Cedar Ave, TX",(872) 752-3776,Radiology,TX-B17114,none
141,Dr. Henry Morris,"6725 Oak Drive, CA",(366) 823-9702,Oncology,CA-B33383,none
142,Dr. Natalie Scott,"8054 Main St, NC",(223) 650-1007,Cardiology,NC-B29519,none
143,Dr. David Rivera,"6681 Pine St, PA",(568) 991-6387,Orthopedics,PA-C40622,none
144,Dr. Alexander Allen,"4465 Maple Blvd, PA",(328) 662-4423,Radiology,PA-A17024,none
145,Dr. Layla Brown,"641 Cedar Ave, IL",(324) 481-9542,Endocrinology,IL-D54590,none
146,Dr. Emily Lewis,"2940 Oak Drive, GA",(344) 735-8790,Radiology,GA-C62797,none
147,Dr. Layla Adams,"3094 Cedar Ave, MI",(801) 325-7331,Gastroenterology,MI-D11792,none
148,Dr. Grace Bell,"2926 Elm St, CA",(976) 494-7533,Gastroenterology,CA-B97491,inputs/sample_pdfs/doc_148.pdf
149,Dr. Benjamin Bell,"7265 Cedar Ave, CA",(222) 983-9695,Oncology,CA-B34116,none
150,Dr. Wyatt Edwards,"6572 Oak Drive, PA",(801) 459-4812,Psychiatry,PA-D86519,none
151,Dr. Hazel Scott,"7558 Maple Blvd, IL",(467) 692-4597,Dermatology,IL-N35080,none
152,Dr. Noah Wilson,"3529 Cedar Ave, IL",(551) 895-1162,Cardiology,IL-N15379,none
153,Dr. Lillian King,"7874 Elm St, GA",(628) 523-9085,Neurology,GA-C13242,none
154,Dr. Victoria Lopez,"2310 Elm St, TX",(311) 255-7716,Oncology,TX-A26797,none
155,Dr. Mason Hall,"4322 Elm St, NY",(875) 457-9460,Gastroenterology,NY-A80743,none
156,Dr. Samuel Garcia,"6764 Elm St, IL",(342) 893-2752,Oncology,IL-D72208,none
157,Dr. Samuel Gray,"5154 Cedar Ave, OH",(894) 589-2616,Endocrinology,OH-D87668,none
158,Dr. Nora Carter,"1321 Cedar Ave, FL",(728) 556-8430,Orthopedics,FL-N40203,none
159,Dr. Elijah Evans,"6734 Maple Blvd, NY",(517) 304-1462,Gastroenterology,NY-C18259,none
160,Dr. Levi Campbell,"9665 Pine St, NY",(298) 453-9695,Radiology,NY-C32532,none
161,Dr. Evelyn Ward,"9238 Cedar Ave, FL",(279) 590-7020,Orthopedics,FL-A16466,none
162,Dr. Riley Parker,"3216 Elm St, FL",(948) 890-8904,Endocrinology,FL-N71188,none
163,Dr. Aiden Howard,"2808 Oak Drive, PA",(283) 558-3564,Oncology,PA-B98139,none
164,Dr. Jack Clark,"4565 Elm St, MI",(680) 443-1552,Dermatology,MI-D28814,inputs/sample_pdfs/doc_164.pdf
165,Dr. Aiden Bell,"3070 Oak Drive, NC",(392) 845-8596,Pediatrics,NC-A79146,none
166,Dr. Jack Carter,"5656 Pine St, PA",(855) 908-7146,Orthopedics,PA-B89835,none
167,Dr. Lillian Peterson,"588 Maple Blvd, MI",(974) 551-3671,Gastroenterology,MI-N69129,none
168,Dr. James Ward,"3427 Maple Blvd, PA",(421) 883-7940,Dermatology,PA-D16872,none
169,Dr. Lucas Phillips,"6921 Main St, GA",(371) 729-4964,Orthopedics,GA-B56324,none
170,Dr. Scarlett Hill,"8715 Elm St, PA",(844) 248-9196,Dermatology,PA-C92405,none
171,Dr. Sophia Parker,"3172 Oak Drive, TX",(395) 802-7194,Endocrinology,TX-D52602,none
172,Dr. Aubrey Thompson,"3458 Main St, PA",(996) 807-5103,Gastroenterology,PA-C33166,none
173,Dr. Addison Adams,"4368 Oak Drive, OH",(420) 321-4564,Dermatology,OH-A19180,none
174,Dr. Nora Garcia,"6851 Main St, NY",(548) 732-8103,Dermatology,NY-D96761,none
175,Dr. Riley Peterson,"4344 Pine St, TX",(948) 570-2126,Orthopedics,TX-B94983,none
176,Dr. Stella Young,"2147 Oak Drive, FL",(770) 794-2440,Psychiatry,FL-B11298,none
177,Dr. Chloe Cooper,"6884 Cedar Ave, NY",(295) 834-7701,Neurology,NY-C73473,none
178,Dr. Olivia Gray,"5622 Maple Blvd, CA",(228) 670-9901,Endocrinology,CA-B79780,none
179,Dr. Emma Gray,"1724 Maple Blvd, GA",(262) 624-5465,Neurology,GA-C17863,none
180,Dr. Zoe Ward,"4451 Elm St, TX",(701) 685-1280,Radiology,TX-A58229,none
181,Dr. John Torres,"2001 Elm St, GA",(271) 422-2515,Orthopedics,GA-N51352,none
182,Dr. Stella Gray,"2590 Pine St, CA",(996) 323-5259,Orthopedics,CA-D31763,none
183,Dr. Wyatt Morgan,"174 Main St, MI",(377) 793-1781,Psychiatry,MI-C65605,none
184,Dr. Owen Carter,"3194 Oak Drive, NY",(735) 629-6062,Radiology,NY-C50163,none
185,Dr. Lillian Scott,"1987 Oak Drive, FL",(580) 357-3521,Cardiology,FL-N85463,none
186,Dr. Daniel Collins,"341 Maple Blvd, GA",(771) 369-1588,Oncology,GA-C36804,inputs/sample_pdfs/doc_186.pdf
187,Dr. Harper Turner,"8019 Main St, TX",(894) 453-1612,Oncology,TX-B74673,none
188,Dr. Aubrey Reed,"3135 Elm St, CA",(986) 738-2759,Pediatrics,CA-B39633,none
189,Dr. Daniel Garcia,"3066 Cedar Ave, FL",(475) 524-6664,Cardiology,FL-A51670,none
190,Dr. Nora Peterson,"2212 Cedar Ave, OH",(573) 404-2972,Endocrinology,OH-D47871,none
191,Dr. Michael Walker,"8487 Main St, TX",(475) 227-6844,Oncology,TX-A25658,none
192,Dr. Levi Cox,"9331 Pine St, IL",(560) 558-5869,Pediatrics,IL-N46612,inputs/sample_pdfs/doc_192.pdf
193,Dr. Aiden Adams,"6320 Oak Drive, NC",(477) 285-8053,Cardiology,NC-B29457,none
194,Dr. Ella Perez,"5110 Oak Drive, GA",(471) 967-4551,Neurology,GA-A61023,inputs/sample_pdfs/doc_194.pdf
195,Dr. Grace Howard,"3427 Elm St, TX",(540) 878-9821,Dermatology,TX-A46797,none
196,Dr. Noah Morgan,"662 Elm St, CA",(950) 289-1068,Cardiology,CA-D30670,none
197,Dr. Hazel Ward,"5739 Oak Drive, PA",(638) 230-1104,Dermatology,PA-D26955,none
198,Dr. Liam Parker,"6201 Maple Blvd, OH",(258) 708-6669,Oncology,OH-B62661,none
199,Dr. Elijah Ward,"5345 Main St, PA",(785) 462-8849,Psychiatry,PA-A85465,none
200,Dr. Sarah Morgan,"4393 Oak Drive, GA",(337) 431-7617,Neurology,GA-B74522,none
201,Dr. Aria Garcia,"3392 Oak Drive, FL",(598) 632-9275,Endocrinology,FL-C51747,none
202,Dr. David Walker,"307 Main St, TX",(661) 772-7946,Gastroenterology,TX-D23920,none
203,Dr. Samuel Reed,"9126 Oak Drive, IL",(811) 828-6011,Radiology,IL-C65651,inputs/sample_pdfs/doc_203.pdf
204,Dr. Nora Perez,"8616 Main St, OH",(596) 572-3729,Oncology,OH-B29716,none
205,Dr. Alexander Gray,"6560 Elm St, NY",(699) 324-6404,Endocrinology,NY-N27240,none
206,Dr. Benjamin Edwards,"297 Maple Blvd, MI",(404) 357-9761,Orthopedics,MI-A49312,inputs/sample_pdfs/doc_206.pdf
207,Dr. Sophia Rivera,"6417 Maple Blvd, CA",(269) 517-3614,Dermatology,CA-A22233,none
208,Dr. John Hall,"4553 Pine St, GA",(360) 833-5145,Cardiology,GA-D68255,inputs/sample_pdfs/doc_208.pdf
209,Dr. Addison Brown,"1855 Main St, GA",(428) 963-7756,Pediatrics,GA-D33465,none
210,Dr. Lucas Garcia,"6992 Pine St, TX",(381) 204-7537,Radiology,TX-C44414,none
211,Dr. Evelyn Wilson,"2726 Pine St, MI",(800) 310-4259,Radiology,MI-A75533,none
212,Dr. John Morgan,"8869 Pine St, PA",(475) 510-2256,Pediatrics,PA-C27181,none
213,Dr. Aiden Ward,"6738 Cedar Ave, GA",(802) 924-8268,Oncology,GA-N79570,none
214,Dr. Owen Edwards,"803 Elm St, TX",(450) 803-5984,Endocrinology,TX-D95095,none
215,Dr. Jack Parker,"8084 Main St, GA",(248) 229-5643,Neurology,GA-D60634,none
216,Dr. David Ward,"1233 Oak Drive, TX",(944) 277-8566,Oncology,TX-N73413,none
217,Dr. Zoe King,"582 Elm St, OH",(824) 465-4050,Cardiology,OH-B52403,none
218,Dr. Aiden Hall,"4926 Elm St, GA",(424) 207-1126,Radiology,GA-C77680,none
219,Dr. Charlotte Peterson,"3667 Pine St, NC",(568) 374-4007,Oncology,NC-A21516,none
220,Dr. Aiden Davis,"9520 Main St, MI",(757) 236-9239,Radiology,MI-C15918,none
